,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-11-24,497.44959272319534,500.2408808739813,483.79214684606006,487.1317443847656,20915837,0.0,0.0
2021-11-25,489.27507114341984,493.61156176833344,484.9884434220514,491.2190246582031,15336539,0.0,0.0
2021-11-26,484.4899994257231,485.2376691779233,456.57699534358267,458.7701721191406,51787989,0.0,0.0
2021-11-29,455.58011027727775,469.2873893064081,441.72330337965445,460.01629638671875,42819150,0.0,0.0
2021-11-30,465.10042155514833,476.51485868651304,454.2342938328322,457.1751403808594,35471800,0.0,0.0
2021-12-01,466.39640473100366,476.91361390574906,462.1097464983375,473.7734069824219,28256188,0.0,0.0
2021-12-02,477.9105059310992,478.9572618518736,470.2344479592225,477.6114501953125,21012008,0.0,0.0
2021-12-03,478.50864201737147,483.1940513062289,475.8170187369197,478.60833740234375,20948900,0.0,0.0
2021-12-06,478.6083264616321,479.4058286776599,464.55212933913634,465.7484130859375,17473075,0.0,0.0
2021-12-07,475.36843741005504,483.39341396312835,469.5366072230511,480.30303955078125,21280797,0.0,0.0
2021-12-08,482.994659856285,494.4090969074416,481.9977668534857,492.3654479980469,20581817,0.0,0.0
2021-12-09,496.4527182360488,496.95116474030186,488.02896014506797,492.4153137207031,16951593,0.0,0.0
2021-12-10,486.2345620374299,495.2564315422136,485.0382782651584,492.91375732421875,14567815,0.0,0.0
2021-12-13,497.89821090504086,504.82659886064494,492.6645227613555,493.8109436035156,21921272,0.0,0.0
2021-12-14,490.4215204365055,490.4215204365055,481.79837170249925,487.8794250488281,17722547,0.0,0.0
2021-12-15,486.28439239547913,496.15365741673213,485.73611341552504,490.1224365234375,16263723,0.0,0.0
2021-12-16,493.46202017863527,494.95735963372204,485.8856275216438,490.4215087890625,13581352,0.0,0.0
2021-12-17,486.4837886241739,487.33115376678035,466.74531920565784,468.7391052246094,27341178,0.0,0.0
2021-12-20,458.47109208545805,458.57078747163445,438.6329271467808,445.6610107421875,33007516,0.0,0.0
2021-12-21,450.69533431839096,459.46798060639327,448.45232505378993,452.190673828125,18838054,0.0,0.0
2021-12-22,456.7265125881845,470.68301430469285,456.7265125881845,469.03814697265625,22730750,0.0,0.0
2021-12-23,474.52106914571783,476.5148551505318,469.4867716526667,470.8824157714844,12116814,0.0,0.0
2021-12-24,473.4244622252998,473.4244622252998,458.57076315546794,466.14715576171875,15487368,0.0,0.0
2021-12-27,464.25307816071984,470.98210585117164,458.6704713255709,469.6861267089844,12557565,0.0,0.0
2021-12-28,473.7235732513508,481.29993583280793,471.18147780754356,478.7080383300781,22860916,0.0,0.0
2021-12-29,477.2625128161006,480.1036638855629,472.77649441887354,474.52105712890625,10263884,0.0,0.0
2021-12-30,471.0817598414891,474.9198038526958,467.1440508716933,468.9384460449219,11923961,0.0,0.0
2021-12-31,471.23134009560493,482.0974678684653,470.38397494877756,480.90118408203125,15541446,0.0,0.0
2022-01-03,491.96668775789453,499.2938572771385,490.4713482814268,496.053955078125,32748423,0.0,0.0
2022-01-04,495.256438368578,497.44961517371866,482.54605240973046,488.0788269042969,24100985,0.0,0.0
2022-01-05,485.4370443699934,491.21901143236147,482.0475839305785,488.22833251953125,15420105,0.0,0.0
2022-01-06,480.0039766491993,491.4184136005116,475.6176535598022,487.3311462402344,16563230,0.0,0.0
2022-01-07,488.5274047051756,493.96048374901665,482.24699094568473,489.0757141113281,15532165,0.0,0.0
